time	voltage
0	-73.5970250000000
1	-73.5986250000000
2	-73.6002190000000
3	-73.6018060000000
4	-73.6033860000000
5	-73.6049590000000
6	-73.6065260000000
7	-73.6080870000000
8	-73.6096400000000
9	-73.6111870000000
10	-73.6127280000000
11	-73.6142620000000
12	-73.6157900000000
13	-73.6173110000000
14	-73.6188260000000
15	-73.6203350000000
16	-73.6218370000000
17	-73.6233340000000
18	-73.6248230000000
19	-73.6263070000000
20	-73.6277840000000
21	-73.6292560000000
22	-73.6307210000000
23	-73.6321800000000
24	-73.6336330000000
25	-73.6350800000000
26	-73.6365210000000
27	-73.6379560000000
28	-73.6393860000000
29	-73.6408090000000
30	-73.6422260000000
31	-73.6436380000000
32	-73.6450440000000
33	-73.6464440000000
34	-73.6478380000000
35	-73.6492260000000
36	-73.6506090000000
37	-73.6519860000000
38	-73.6533570000000
39	-73.6547230000000
40	-73.6560830000000
41	-73.6574380000000
42	-73.6587870000000
43	-73.6601310000000
44	-73.6614690000000
45	-73.6628020000000
46	-73.6641290000000
47	-73.6654510000000
48	-73.6667670000000
49	-73.6680780000000
50	-73.6693840000000
51	-73.6706840000000
52	-73.6719790000000
53	-73.6732690000000
54	-73.6745540000000
55	-73.6758330000000
56	-73.6771080000000
57	-73.6783770000000
58	-73.6796410000000
59	-73.6809000000000
60	-73.6821530000000
61	-73.6834020000000
62	-73.6846460000000
63	-73.6858850000000
64	-73.6871180000000
65	-73.6883470000000
66	-73.6895710000000
67	-73.6907900000000
68	-73.6920040000000
69	-73.6932130000000
70	-73.6944170000000
71	-73.6956160000000
72	-73.6968110000000
73	-73.6980010000000
74	-73.6991860000000
75	-73.7003660000000
76	-73.7015410000000
77	-73.7027120000000
78	-73.7038780000000
79	-73.7050400000000
80	-73.7061970000000
81	-73.7073490000000
82	-73.7084960000000
83	-73.7096390000000
84	-73.7107780000000
85	-73.7119110000000
86	-73.7130410000000
87	-73.7141660000000
88	-73.7152860000000
89	-73.7164020000000
90	-73.7175130000000
91	-73.7186200000000
92	-73.7197230000000
93	-73.7208210000000
94	-73.7219140000000
95	-73.7230040000000
96	-73.7240890000000
97	-73.7251700000000
98	-73.7262460000000
99	-73.7273190000000
100	-73.7283870000000
101	-73.7294500000000
102	-73.7305100000000
103	-73.7315650000000
104	-73.7326170000000
105	-73.7336640000000
106	-73.7347070000000
107	-73.7357450000000
108	-73.7367800000000
109	-73.7378110000000
110	-73.7388370000000
111	-73.7398600000000
112	-73.7408780000000
113	-73.7418930000000
114	-73.7429030000000
115	-73.7439100000000
116	-73.7449120000000
117	-73.7459110000000
118	-73.7469050000000
119	-73.7478960000000
120	-73.7488830000000
121	-73.7498660000000
